Calibration Curve RI	
X:	Y:
2.46667	9.000
2.46833	9.000
2.47000	9.000
2.47167	9.000
2.47333	9.000
2.47500	9.000
2.47667	9.000
2.47833	9.000
2.48000	9.000
2.48167	9.000
2.48333	9.000
2.48500	9.000
2.48667	9.000
2.48833	9.000
2.49000	9.000
2.49167	9.000
2.49333	9.000
2.49500	9.000
2.49667	9.000
2.49833	9.000
2.50000	9.000
2.50167	9.000
2.50333	9.000
2.50500	9.000
2.50667	9.000
2.50833	9.000
2.51000	9.000
2.51167	9.000
2.51333	9.000
2.51500	9.000
2.51667	9.000
2.51833	9.000
2.52000	9.000
2.52167	9.000
2.52333	9.000
2.52500	9.000
2.52667	9.000
2.52833	9.000
2.53000	9.000
2.53167	9.000
2.53333	9.000
2.53500	9.000
2.53667	9.000
2.53833	9.000
2.54000	9.000
2.54167	9.000
2.54333	9.000
2.54500	9.000
2.54667	9.000
2.54833	9.000
2.55000	9.000
2.55167	9.000
2.55333	9.000
2.55500	9.000
2.55667	9.000
2.55833	9.000
2.56000	9.000
2.56167	9.000
2.56333	9.000
2.56500	9.000
2.56667	9.000
2.56833	9.000
2.57000	9.000
